,rating,rating_title,rating_description,rating_pros,rating_cons
2209,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
2210,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2211,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
2212,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
2213,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
2214,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
2215,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
2216,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
2217,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
2218,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
2219,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
2220,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
2221,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
2222,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
2223,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
2224,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
2225,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
2226,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
2227,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
2228,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
2229,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
2230,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
2231,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2232,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
2233,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
2234,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
2235,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
2236,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
2237,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
2238,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
2239,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
2240,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
2241,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
2242,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
2243,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
2244,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
2245,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
2246,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
2247,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
2248,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
2249,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
2250,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
2251,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
2252,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2253,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
2254,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
2255,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
2256,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
2257,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
2258,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
2259,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
2260,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
2261,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
2262,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
2263,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
2264,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
2265,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
2266,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
2267,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
2268,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
2269,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
2270,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
2271,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
2272,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
2273,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2274,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
2275,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
2276,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
2277,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
2278,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
2279,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
2280,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
2281,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
2282,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
2283,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
2284,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
2285,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
2286,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
2287,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
2288,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
2289,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
2290,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
2291,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
2292,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
2293,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
2294,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2295,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
2296,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
2297,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
2298,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
2299,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
2300,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
2301,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
2302,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
2303,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
2304,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
2305,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
2306,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
2307,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
2308,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
2309,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
2310,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
2311,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
2312,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
2313,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
2314,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
2315,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2316,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
2317,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
2318,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
2319,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
2320,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
2321,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
2322,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
2323,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
2324,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
2325,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
2326,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
2327,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
2328,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
2329,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
2330,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
2331,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
2332,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
2333,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
2334,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
2335,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
2336,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2337,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
2338,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
2339,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
2340,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
2341,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
2342,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
2343,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
2344,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
2345,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
2346,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
2347,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
2348,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
2349,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
2350,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
2351,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
2352,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
2353,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
2354,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
2355,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
2356,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
2357,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
2358,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
2359,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
2360,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
2361,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
2362,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
2363,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
2364,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
2365,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
2366,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
2367,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
2368,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
2369,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
2370,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
2371,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
2372,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
2373,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
2374,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
2375,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
2376,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
